Title	Wiki_text	Clean_wiki_text	Wikidata_desc	Clean_wikidata_desc	Category
Palmolive Building	<p>The <b>Palmolive Building</b>, formerly the <b>Playboy Building</b>, is a 37-story Art Deco building at 919 N. Michigan Avenue in Chicago. Built by Holabird &amp; Root, it was completed in 1929 and was home to the Colgate-Palmolive-Peet Corporation. </p><p>The Palmolive Building was renamed the <b>Playboy Building</b> in 1965 when Playboy Enterprises purchased the leasehold of the building. It was home to the editorial and business offices of <i>Playboy</i> magazine from that time until 1989 when Playboy moved its offices to 680 N Lake Shore Drive. Playboy had sold the leasehold in 1980 and signed a 10-year lease that expired in 1990. The new leaseholder renamed the building 919 North Michigan Avenue.</p><p>During the time that Playboy was in the building, the word P-L-A-Y-B-O-Y was spelled out in 9-foot (2.7 m) illuminated letters on the north and south roofline. The building was designated a Chicago Landmark in 2000, and it was added to the federal National Register of Historic Places in 2003. </p><p>In 2001, the building was sold to developer Draper and Kramer who, with Booth Hansen Architects, converted it to residential use with the first two floors dedicated to upscale office and retail space. High-end condos make up the rest of the building. The new owners restored the building's name to the Palmolive Building. The business address remains 919 North Michigan Avenue; however, the residential address is 159 East Walton Place. Notable residents of the building include Vince Vaughn, who bought a 12,000-square-foot triplex penthouse encompassing the 35th, 36th and 37th floors for $12 million. In February 2013, Vaughn offered the penthouse for sale as a pocket listing for $24.9 million. However, after multiple price cuts he chose in May 2016 to divide the unit in two, offering one for $8.5 million, and the other smaller unit for $4.2 million.</p>	the palmolive building formerly the playboy building is a 37story art deco building at 919 n michigan avenue in chicago built by holabird amp root it was completed in 1929 and was home to the colgatepalmolivepeet corporation the palmolive building was renamed the playboy building in 1965 when playboy enterprises purchased the leasehold of the building it was home to the editorial and business offices of playboy magazine from that time until 1989 when playboy moved its offices to 680 n lake shore drive playboy had sold the leasehold in 1980 and signed a 10year lease that expired in 1990 the new leaseholder renamed the building 919 north michigan avenueduring the time that playboy was in the building the word playboy was spelled out in 9foot 27 m illuminated letters on the north and south roofline the building was designated a chicago landmark in 2000 and it was added to the federal national register of historic places in 2003 in 2001 the building was sold to developer draper and kramer who with booth hansen architects converted it to residential use with the first two floors dedicated to upscale office and retail space highend condos make up the rest of the building the new owners restored the buildings name to the palmolive building the business address remains 919 north michigan avenue however the residential address is 159 east walton place notable residents of the building include vince vaughn who bought a 12000squarefoot triplex penthouse encompassing the 35th 36th and 37th floors for 12 million in february 2013 vaughn offered the penthouse for sale as a pocket listing for 249 million however after multiple price cuts he chose in may 2016 to divide the unit in two offering one for 85 million and the other smaller unit for 42 million	building in Chicago	building in chicago	Written_communication
1271 Avenue of the Americas	"<p class=""mw-empty-elt""> </p> <p><b>1271 Avenue of the Americas </b> is a 48-story skyscraper on Sixth Avenue (Avenue of the Americas), between 50th and 51st Streets, in the Midtown Manhattan neighborhood of New York City. Designed by architect Wallace Harrison of Harrison, Abramovitz, and Harris, the building was developed between 1956 and 1960 as part of Rockefeller Center. It was originally known as the <b>Time &amp; Life Building</b> for its main tenant, Time Inc., which also published <i>Life</i> magazine. </p><p>1271 Avenue of the Americas contains an eight-story base that partially wraps around the main shaft, as well as a plaza with white-and-gray serpentine pavement and water fountains. The facade consists of glass panels between limestone columns. The lobby contains serpentine floors; white-marble and stainless-steel walls; reddish-burgundy glass ceilings; and artwork by Josef Albers, Fritz Glarner, and Francis Brennan. The ground floor also includes storefronts and originally also housed La Fonda del Sol, a Latin American-themed restaurant. Each of the upper floors measures 28,000 sq ft (2,600 m<sup>2</sup>) and consists of a column-free space around a mechanical core. The 48th floor originally contained the Hemisphere Club, a members-only restaurant during the day. </p><p>After Time Inc. expressed its intention to move from 1 Rockefeller Plaza in the 1950s, Rockefeller Center's owners proposed the skyscraper to meet the company's needs while retaining it as a tenant. Construction started in May 1957, the building was topped out during November 1958, and occupants began moving into their offices in late 1959. The New York City Landmarks Preservation Commission designated the Time-Life Building's lobby as a city landmark in 2002. Time Inc. vacated the building in 2015, and the building was subsequently renovated between 2015 and 2019. </p>"	1271 avenue of the americas is a 48story skyscraper on sixth avenue avenue of the americas between 50th and 51st streets in the midtown manhattan neighborhood of new york city designed by architect wallace harrison of harrison abramovitz and harris the building was developed between 1956 and 1960 as part of rockefeller center it was originally known as the time amp life building for its main tenant time inc which also published life magazine 1271 avenue of the americas contains an eightstory base that partially wraps around the main shaft as well as a plaza with whiteandgray serpentine pavement and water fountains the facade consists of glass panels between limestone columns the lobby contains serpentine floors whitemarble and stainlesssteel walls reddishburgundy glass ceilings and artwork by josef albers fritz glarner and francis brennan the ground floor also includes storefronts and originally also housed la fonda del sol a latin americanthemed restaurant each of the upper floors measures 28000 sq ft 2600 m2 and consists of a columnfree space around a mechanical core the 48th floor originally contained the hemisphere club a membersonly restaurant during the day after time inc expressed its intention to move from 1 rockefeller plaza in the 1950s rockefeller centers owners proposed the skyscraper to meet the companys needs while retaining it as a tenant construction started in may 1957 the building was topped out during november 1958 and occupants began moving into their offices in late 1959 the new york city landmarks preservation commission designated the timelife buildings lobby as a city landmark in 2002 time inc vacated the building in 2015 and the building was subsequently renovated between 2015 and 2019	skyscraper located in Rockefeller Center in New York City	skyscraper located in rockefeller center in new york city	Written_communication
The Knickerbocker Hotel	"<p class=""mw-empty-elt""> </p> <p><b>The Knickerbocker Hotel</b> is a hotel at Times Square, on the southeastern corner of Broadway and 42nd Street, in the Midtown Manhattan neighborhood of New York City. Built by John Jacob Astor IV, the hostelry was designed in 1901 and opened in 1906. Its location near the Theater District around Times Square was intended to attract not only residential guests but also theater visitors. </p><p>The Knickerbocker Hotel is largely designed in the Beaux-Arts style by Marvin &amp; Davis, with Bruce Price as consultant. Its primary frontages are on Broadway and 42nd Street. These facades are constructed of red brick with terracotta details and a prominent mansard roof. The Knickerbocker Hotel also incorporates an annex on 41st Street, built in 1894 as part of the St. Cloud Hotel, which formerly occupied the site. The 41st Street facade contains a Romanesque Revival design by Philip C. Brown. Inside, the hotel contains 300 rooms, a restaurant, a coffee shop, and a roof bar. The original interior design was devised in 1905 by Trowbridge &amp; Livingston. There are scattered remnants of the original interior design, including an entrance that formerly led from the New York City Subway's Times Square station to the hotel's basement. </p><p>The original hotel, which served as the home of Enrico Caruso and George M. Cohan, shuttered in 1920 following a decrease in business. The building was then converted to offices, becoming known as the Knickerbocker Building. It was the home of <i>Newsweek</i> magazine from 1940 to 1959 during which it was called the Newsweek Building. After major renovations in 1980, it became known as 1466 Broadway and was used as garment showrooms and offices. Following another renovation in 2001, it was known as 6 Times Square. The Knickerbocker was added to the National Register of Historic Places in 1980 and was designated a New York City Landmark in 1988. It was converted back to a hotel from 2013 to 2015 under its original name. </p>"	the knickerbocker hotel is a hotel at times square on the southeastern corner of broadway and 42nd street in the midtown manhattan neighborhood of new york city built by john jacob astor iv the hostelry was designed in 1901 and opened in 1906 its location near the theater district around times square was intended to attract not only residential guests but also theater visitors the knickerbocker hotel is largely designed in the beauxarts style by marvin amp davis with bruce price as consultant its primary frontages are on broadway and 42nd street these facades are constructed of red brick with terracotta details and a prominent mansard roof the knickerbocker hotel also incorporates an annex on 41st street built in 1894 as part of the st cloud hotel which formerly occupied the site the 41st street facade contains a romanesque revival design by philip c brown inside the hotel contains 300 rooms a restaurant a coffee shop and a roof bar the original interior design was devised in 1905 by trowbridge amp livingston there are scattered remnants of the original interior design including an entrance that formerly led from the new york city subways times square station to the hotels basement the original hotel which served as the home of enrico caruso and george m cohan shuttered in 1920 following a decrease in business the building was then converted to offices becoming known as the knickerbocker building it was the home of newsweek magazine from 1940 to 1959 during which it was called the newsweek building after major renovations in 1980 it became known as 1466 broadway and was used as garment showrooms and offices following another renovation in 2001 it was known as 6 times square the knickerbocker was added to the national register of historic places in 1980 and was designated a new york city landmark in 1988 it was converted back to a hotel from 2013 to 2015 under its original name	hotel in Manhattan, New York	hotel in manhattan new york	Written_communication
Moonlight Bay Trilogy	"<p>The <i><b>Moonlight Bay Trilogy</b></i> is an unfinished trilogy of three novels by Dean Koontz. They revolve around the mysterious events in Moonlight Bay, a fictitious Southern California town, that are investigated by the main character Christopher Snow, who suffers from the genetic disorder Xeroderma pigmentosum. </p><p>Only the first two books have been released; no release date is scheduled for the third novel. The books in the trilogy are: </p> <ul><li><i>Fear Nothing</i>,(1998), ISBN 0-7472-5832-5 (Paperback), <link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1067248974"">ISBN 0-553-10664-3 (Hardback)</li> <li><i>Seize the Night</i>,(1999), <link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1067248974"">ISBN 0-7472-5833-3 (Paperback), <link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1067248974"">ISBN 0-553-10665-1 (Hardback)</li> <li><i>Ride the Storm</i> (Tentative title), (TBA)</li></ul><p>According to a January 14, 2000 interview with Bookreporter.com, Dean Koontz was quoted as saying ""I'm half way through <i>Ride the Storm</i>, the third Christopher Snow story, but another book will appear between <i>Fear Nothing</i> and <i>Ride</i>."" </p><p>As of 2003, Koontz was still reportedly ""halfway through"" <i>Ride the Storm.</i></p><p>In an interview at the end of 2017, Koontz says that he intends to finish Ride the Storm once he finishes the 7th book in his Jane Hawk series. The fifth and final book in the Jane Hawk series - <i>The Night Window</i> - was published on May 14, 2019 but there is still no definitive word on if or when <i>Ride the Storm</i> will be released. </p>"	the moonlight bay trilogy is an unfinished trilogy of three novels by dean koontz they revolve around the mysterious events in moonlight bay a fictitious southern california town that are investigated by the main character christopher snow who suffers from the genetic disorder xeroderma pigmentosum only the first two books have been released no release date is scheduled for the third novel the books in the trilogy are fear nothing1998 isbn 0747258325 paperback isbn 0553106643 hardback seize the night1999 isbn 0747258333 paperback isbn 0553106651 hardback ride the storm tentative title tbaaccording to a january 14 2000 interview with bookreportercom dean koontz was quoted as saying im half way through ride the storm the third christopher snow story but another book will appear between fear nothing and ride as of 2003 koontz was still reportedly halfway through ride the stormin an interview at the end of 2017 koontz says that he intends to finish ride the storm once he finishes the 7th book in his jane hawk series the fifth and final book in the jane hawk series the night window was published on may 14 2019 but there is still no definitive word on if or when ride the storm will be released	proposed trilogy by Dean Koontz	proposed trilogy by dean koontz	Written_communication
The Book (short story)	"<p>""<b>The Book</b>"" is an unfinished short story by American horror fiction writer H. P. Lovecraft, believed to have been written in late 1933. It was first published in the journal <i>Leaves</i> in 1938, after Lovecraft's death.</p><p>In the story fragment, the narrator is given an ancient book by a strange bookseller, and when he takes it home and examines it, weird and sinister events ensue. </p><p>In October 1933, Lovecraft wrote in a letter: </p> <blockquote class=""templatequote""><p>I am at a sort of standstill in writing—disgusted at much of my older work, and uncertain as to avenues of improvement. In recent weeks I have done a tremendous amount of experimenting with different styles and perspectives, but have destroyed most of the results.</p></blockquote> <p>The <i>H. P. Lovecraft Encyclopedia</i> suggests that ""The Book"" was one of the undestroyed experiments—an attempt to translate Lovecraft's poem sequence <i>Fungi from Yuggoth</i> into prose. (The completed fragment corresponds to the first three sonnets, which form more of a coherent narrative than the rest of the sequence.)</p><p>""The Black Tome of Alsophocus"", first published in <i>New Tales of the Cthulhu Mythos</i> (1969), is an attempt by Martin S. Warnes to complete ""The Book"". Warnes turns the fragment into a tale of possession by Nyarlathotep.</p><p>In 2019, the latter Warnes completion was adapted into a short film of the same name. The aforementioned film was featured in 2020 Edition of the H.P. Lovecraft Film Festival &amp; CthulhuCon and it its included in the Festival's Best of 2020 Short Film Collection bluray. </p>"	the book is an unfinished short story by american horror fiction writer h p lovecraft believed to have been written in late 1933 it was first published in the journal leaves in 1938 after lovecrafts deathin the story fragment the narrator is given an ancient book by a strange bookseller and when he takes it home and examines it weird and sinister events ensue in october 1933 lovecraft wrote in a letter i am at a sort of standstill in writing—disgusted at much of my older work and uncertain as to avenues of improvement in recent weeks i have done a tremendous amount of experimenting with different styles and perspectives but have destroyed most of the results the h p lovecraft encyclopedia suggests that the book was one of the undestroyed experiments—an attempt to translate lovecrafts poem sequence fungi from yuggoth into prose the completed fragment corresponds to the first three sonnets which form more of a coherent narrative than the rest of the sequencethe black tome of alsophocus first published in new tales of the cthulhu mythos 1969 is an attempt by martin s warnes to complete the book warnes turns the fragment into a tale of possession by nyarlathotepin 2019 the latter warnes completion was adapted into a short film of the same name the aforementioned film was featured in 2020 edition of the hp lovecraft film festival amp cthulhucon and it its included in the festivals best of 2020 short film collection bluray	H. P. Lovecraft short story	h p lovecraft short story	Written_communication
My Immortal (fan fiction)	"<p><i><b>My Immortal</b></i> is a <i>Harry Potter</i>-based fan fiction serially published on FanFiction.net between 2006 and 2007. Though notable for its convoluted narrative and constant digressions, the story largely centers on a non-canonical female vampire character named ""Ebony Dark'ness Dementia Raven Way"" and her relationships with the characters of the <i>Harry Potter</i> series, particularly her romantic relationship with Draco Malfoy, culminating in her traveling back in time to defeat the main antagonist of the series, Lord Voldemort (or 'Vlodemort'). </p><p><i>My Immortal</i> is popularly regarded as one of the worst works of fan fiction ever written. Since the work's publication, it has gained infamy for its constant grammar and spelling errors, plot inconsistencies and complete disregard for the original <i>Harry Potter</i> source material. Despite this, the series has also inspired multiple derivative works, including a YouTube web series, and is viewed with nostalgia for adolescent fan life. </p><p>The author's identity has never been confirmed and has been deemed by many as ""unsolvable"". The author published the story under the username ""XXXbloodyrists666XXX"" and self-identified as Tara Gilesbie. In September 2017, someone claiming to be the author updated a FictionPress account stating that she had created an active Tumblr account under her real name; an effort to locate this Tumblr account resulted in the account of young adult novelist Rose Christo. She has since stated that she was one of two co-authors of <i>My Immortal</i> and had provided evidence of her authorship to Macmillan Publishers, but controversy that same month over factual errors in her then-forthcoming memoirs has led to doubt as to her authorship. </p><p>The story has been speculated to be a hoax designed to fool and troll readers or to satirize fan fiction, but others consider the work and the alleged online presence of the author too elaborate to fake effectively. In September 2017, Christo stated that <i>My Immortal</i> is a work of satire, though her authorship is disputed. </p> "	my immortal is a harry potterbased fan fiction serially published on fanfictionnet between 2006 and 2007 though notable for its convoluted narrative and constant digressions the story largely centers on a noncanonical female vampire character named ebony darkness dementia raven way and her relationships with the characters of the harry potter series particularly her romantic relationship with draco malfoy culminating in her traveling back in time to defeat the main antagonist of the series lord voldemort or vlodemort my immortal is popularly regarded as one of the worst works of fan fiction ever written since the works publication it has gained infamy for its constant grammar and spelling errors plot inconsistencies and complete disregard for the original harry potter source material despite this the series has also inspired multiple derivative works including a youtube web series and is viewed with nostalgia for adolescent fan life the authors identity has never been confirmed and has been deemed by many as unsolvable the author published the story under the username xxxbloodyrists666xxx and selfidentified as tara gilesbie in september 2017 someone claiming to be the author updated a fictionpress account stating that she had created an active tumblr account under her real name an effort to locate this tumblr account resulted in the account of young adult novelist rose christo she has since stated that she was one of two coauthors of my immortal and had provided evidence of her authorship to macmillan publishers but controversy that same month over factual errors in her thenforthcoming memoirs has led to doubt as to her authorship the story has been speculated to be a hoax designed to fool and troll readers or to satirize fan fiction but others consider the work and the alleged online presence of the author too elaborate to fake effectively in september 2017 christo stated that my immortal is a work of satire though her authorship is disputed	work of fan fiction that inspired various derivative works	work of fan fiction that inspired various derivative works	Written_communication
On Social Freedom	"<p><b>On Social Freedom: or the Necessary Limits of Individual Freedom Arising Out of the Conditions of Our Social Life</b> is an essay regarding individual and societal freedom initially thought to have been written by the British philosopher John Stuart Mill, but later found to have been falsely attributed to him.</p><p>Discovered in 1907 among the possessions left in the home at which Mill died in Avignon, France, it was published in June 1907 as a special article in The Oxford and Cambridge Review. The work was republished by Columbia University Press in 1941, but failed to attract much attention. In 1955, the Liberal Arts Press intended to republish it in a volume also containing <i>On Liberty</i>, but decided against doing so in view of the doubts surrounding its authorship raised by the Mill scholar J.C. Rees. He then set out the full case against attributing the work to Mill in his 1956 work <i>Mill and His Early Critics</i>. </p><p>Rees's explanation for how the manuscript ended up among Mill's possessions is summarised by J.P. Scanlan:</p> <blockquote><p>In September, 1862, Mill wrote a letter from Avignon to a certain E.R. Edger, acknowledging receipt of a manuscript entitled ""Social Freedom."" Apparently Edger hoped to elicit from Mill an appraisal of his capacity for philosophical inquiry, and had sent the manuscript as a sample of his work. Mill replies politely and with his usual care that he finds many signs of competence in the work - mostly, however, in the form of ""promise rather than performance"" - and he exhorts Edger to continue thinking and writing, though not ""to the neglect of other modes of gaining a subsistence."" Concerining Edger's views Mill says only that, if he were to comment in detail, he ""should have much to say against several of your positions, and especially against your definition of liberty.""</p></blockquote> <p>The letter is included in Mill's <i>Collected Works</i> where Edger is identified as ""probably Ebenezer R. Edger, associate of G.J. Holyoake in the promoting of the co-operative movement, writer for <i>The Secular World</i> and author of tracts on co-operation."" Holyoake briefly mentions Edger in <i>The History of Co-operation</i>:</p> <blockquote><p>""Ten years later my colleague, Mr E. R. Edger, visited Mr. Crisell, the manager of the farm whom the Rev. Mr. Robinson had found to be ""manly, open, and ingenious appearance,"" beyond what he expected of one belonging to the ""depressed"" class. Mr. Edger sent me this report:- </p><blockquote><p>""I paid a visit to Assington, and had a conversation with the manager, Mr. Crisell (pronounced with i long, 'Cry-sell'). I can feel no enthusiasm at all about the Assington Farm. There seems no 'co-operation' in the right sense of the term, but only <i>bounty</i> of the squire towards poor neighbours. </p><p>(1) It is limited to inhabitants of the parish. (2) Each member can hold only one share. (3) Members have no voice in the management. (4) Wages to workmen same as usual. (5) No special inducement offered to the workmen to become shareholders. The manager remarked that they did not care particularly to employ the members; this seems to me very significant. It has been in existence forty-one years, so it will take a long time to renovate society that way. Remember, I only give my impressions."" </p> </blockquote></blockquote> <p>An E.R. Edger is also listed in the <i>British Medical Journal</i> on 24 April 1869 as having passed a primary examination in anatomy and physiology at the Royal College of Surgeons of England.</p>"	on social freedom or the necessary limits of individual freedom arising out of the conditions of our social life is an essay regarding individual and societal freedom initially thought to have been written by the british philosopher john stuart mill but later found to have been falsely attributed to himdiscovered in 1907 among the possessions left in the home at which mill died in avignon france it was published in june 1907 as a special article in the oxford and cambridge review the work was republished by columbia university press in 1941 but failed to attract much attention in 1955 the liberal arts press intended to republish it in a volume also containing on liberty but decided against doing so in view of the doubts surrounding its authorship raised by the mill scholar jc rees he then set out the full case against attributing the work to mill in his 1956 work mill and his early critics reess explanation for how the manuscript ended up among mills possessions is summarised by jp scanlan in september 1862 mill wrote a letter from avignon to a certain er edger acknowledging receipt of a manuscript entitled social freedom apparently edger hoped to elicit from mill an appraisal of his capacity for philosophical inquiry and had sent the manuscript as a sample of his work mill replies politely and with his usual care that he finds many signs of competence in the work mostly however in the form of promise rather than performance and he exhorts edger to continue thinking and writing though not to the neglect of other modes of gaining a subsistence concerining edgers views mill says only that if he were to comment in detail he should have much to say against several of your positions and especially against your definition of liberty the letter is included in mills collected works where edger is identified as probably ebenezer r edger associate of gj holyoake in the promoting of the cooperative movement writer for the secular world and author of tracts on cooperation holyoake briefly mentions edger in the history of cooperation ten years later my colleague mr e r edger visited mr crisell the manager of the farm whom the rev mr robinson had found to be manly open and ingenious appearance beyond what he expected of one belonging to the depressed class mr edger sent me this report i paid a visit to assington and had a conversation with the manager mr crisell pronounced with i long crysell i can feel no enthusiasm at all about the assington farm there seems no cooperation in the right sense of the term but only bounty of the squire towards poor neighbours 1 it is limited to inhabitants of the parish 2 each member can hold only one share 3 members have no voice in the management 4 wages to workmen same as usual 5 no special inducement offered to the workmen to become shareholders the manager remarked that they did not care particularly to employ the members this seems to me very significant it has been in existence fortyone years so it will take a long time to renovate society that way remember i only give my impressions an er edger is also listed in the british medical journal on 24 april 1869 as having passed a primary examination in anatomy and physiology at the royal college of surgeons of england	book by John Stuart Mill	book by john stuart mill	Written_communication
K-Rob	"<p><b>Malik Johnson</b>, better known as <b>K-Rob</b>, is an American rapper most famous for providing vocals for ""Beat Bop"" with Rammellzee in 1983. He was also a graffiti artist with the tag ""Crane."" He released the singles ""I'm a Homeboy"" and ""The Day K-Rob Came Back"" under his own name, in 1986. Since the 1980s, however, aside from providing a verse for ""Beat Bop Part 2"" on 2004's <i>Bi-Conicals of the Rammellzee</i>, K-Rob has devoted himself more to his Muslim faith.</p>"	malik johnson better known as krob is an american rapper most famous for providing vocals for beat bop with rammellzee in 1983 he was also a graffiti artist with the tag crane he released the singles im a homeboy and the day krob came back under his own name in 1986 since the 1980s however aside from providing a verse for beat bop part 2 on 2004s biconicals of the rammellzee krob has devoted himself more to his muslim faith	American rapper	american rapper	Written_communication
Edward von Lõngus	"<p><b>Edward von Lõngus</b> (pseudonym) is an Estonian stencil artist based in Tartu. His works have earned the attention of the media and many art critics, been presented in art exhibitions and sold in art auctions.</p><p>He has been compared to Banksy because of the style of his works that often include political and social commentary, his use of stencils and unknown identity. </p><p>He received the Tartu City Culture Award in 2014 for his stencil ""Cannabeard and the Witch-Hunter"" that takes an Estonian children's book character called Sammalhabe (""Mossbeard"", from Eno Raud's novel ""Naksitrallid"") and changes it to produce a piece about the war on drugs.</p><p>In January 2019, Edward von Lõngus won the 2018 Culture Award by Estonian Ministry of Foreign Affairs for his digital street art project ‘(R)estart Reality’. In the course of the project, which took place as part of Estonia’s presidency of the European Union and the cultural programme for the celebrations of the 100th anniversary of the Republic of Estonia, he visited 11 European capitals - Brussels, Rome, Berlin, Helsinki, Copenhagen, Paris, London, Vilnius, Rīga, Vienna and Budapest -, painting there street-art connected to Estonian cultural history. To these painting, additional digital audio-video content was connected via an augmented reality app, telling stories about each life-sized painted figure and connecting cultural traditions with Estonia's image as an e-nation.</p>"	edward von lõngus pseudonym is an estonian stencil artist based in tartu his works have earned the attention of the media and many art critics been presented in art exhibitions and sold in art auctionshe has been compared to banksy because of the style of his works that often include political and social commentary his use of stencils and unknown identity he received the tartu city culture award in 2014 for his stencil cannabeard and the witchhunter that takes an estonian childrens book character called sammalhabe mossbeard from eno rauds novel naksitrallid and changes it to produce a piece about the war on drugsin january 2019 edward von lõngus won the 2018 culture award by estonian ministry of foreign affairs for his digital street art project ‘ restart reality ’ in the course of the project which took place as part of estonia ’ s presidency of the european union and the cultural programme for the celebrations of the 100th anniversary of the republic of estonia he visited 11 european capitals brussels rome berlin helsinki copenhagen paris london vilnius rīga vienna and budapest painting there streetart connected to estonian cultural history to these painting additional digital audiovideo content was connected via an augmented reality app telling stories about each lifesized painted figure and connecting cultural traditions with estonias image as an enation	Estonian street artist	estonian street artist	Written_communication
Murad Subay	"<p><b>Murad Subay</b> (born July 3, 1987 in Dhamar) is a Yemeni contemporary artist, street artist and a political activist who has launched several street art campaigns of which society engagement marked one of their important elements. He first started to paint on the streets after the revolution of 2011, in a campaign he called ""Color the Walls of Your Street"".</p><p>He became widely known as an activist after launching several street art campaigns that criticized the political situation in his country and the conflicts which broke out in 2015 in Yemen. He always paints in the light of day and invites people to join him paint openly in the streets. People from different backgrounds and ages have joined him in his campaigns to express their own views around the political scene in Yemen. The influence of these campaigns spread to other cities such as Sana'a, Taiz, Aden, Ibb and Alhudaydah where similar campaigns were launched soon after. Subay has been compared to fellow street artist Banksy.</p>"	murad subay born july 3 1987 in dhamar is a yemeni contemporary artist street artist and a political activist who has launched several street art campaigns of which society engagement marked one of their important elements he first started to paint on the streets after the revolution of 2011 in a campaign he called color the walls of your streethe became widely known as an activist after launching several street art campaigns that criticized the political situation in his country and the conflicts which broke out in 2015 in yemen he always paints in the light of day and invites people to join him paint openly in the streets people from different backgrounds and ages have joined him in his campaigns to express their own views around the political scene in yemen the influence of these campaigns spread to other cities such as sanaa taiz aden ibb and alhudaydah where similar campaigns were launched soon after subay has been compared to fellow street artist banksy	yemeni artist and activist	yemeni artist and activist	Written_communication
