Title	Wiki_text	Clean_wiki_text	Wikidata_desc	Clean_wikidata_desc	Category
Palmolive Building	<p>The <b>Palmolive Building</b>, formerly the <b>Playboy Building</b>, is a 37-story Art Deco building at 919 N. Michigan Avenue in Chicago. Built by Holabird &amp; Root, it was completed in 1929 and was home to the Colgate-Palmolive-Peet Corporation. </p><p>The Palmolive Building was renamed the <b>Playboy Building</b> in 1965 when Playboy Enterprises purchased the leasehold of the building. It was home to the editorial and business offices of <i>Playboy</i> magazine from that time until 1989 when Playboy moved its offices to 680 N Lake Shore Drive. Playboy had sold the leasehold in 1980 and signed a 10-year lease that expired in 1990. The new leaseholder renamed the building 919 North Michigan Avenue.</p><p>During the time that Playboy was in the building, the word P-L-A-Y-B-O-Y was spelled out in 9-foot (2.7 m) illuminated letters on the north and south roofline. The building was designated a Chicago Landmark in 2000, and it was added to the federal National Register of Historic Places in 2003. </p><p>In 2001, the building was sold to developer Draper and Kramer who, with Booth Hansen Architects, converted it to residential use with the first two floors dedicated to upscale office and retail space. High-end condos make up the rest of the building. The new owners restored the building's name to the Palmolive Building. The business address remains 919 North Michigan Avenue; however, the residential address is 159 East Walton Place. Notable residents of the building include Vince Vaughn, who bought a 12,000-square-foot triplex penthouse encompassing the 35th, 36th and 37th floors for $12 million. In February 2013, Vaughn offered the penthouse for sale as a pocket listing for $24.9 million. However, after multiple price cuts he chose in May 2016 to divide the unit in two, offering one for $8.5 million, and the other smaller unit for $4.2 million.</p>	dedicated building 1965 2013 architect 35th east north historic word colgatepalmolivepeet first divide unit after corporation n he home 2016 2003 renamed vaughn michigan by in to may upscale space however pocket 159 offering playboy retail 12 cut rest editorial a time landmark vince on price one wa lake bought palmolive 1929 encompassing up listing two 10year completed converted remains sale include 2000 new use leasehold is when chose office kramer restored avenue root that lease avenueduring residential million penthouse address m 2001 37th name 9foot with 1980 south it register resident 249 holabird until 42 condo expired of spelled notable triplex 37story who owner other floor shore business had 12000squarefoot offered make for 1990 and added walton hansen multiple from illuminated moved place leaseholder built art national draper amp booth out drive formerly february smaller 36th purchased signed letter 85 designated 680 magazine sold developer deco 919 the 27 roofline highend 1989 federal at enterprise chicago	building in Chicago	in building chicago	Written_communication
1271 Avenue of the Americas	"<p class=""mw-empty-elt""> </p> <p><b>1271 Avenue of the Americas </b> is a 48-story skyscraper on Sixth Avenue (Avenue of the Americas), between 50th and 51st Streets, in the Midtown Manhattan neighborhood of New York City. Designed by architect Wallace Harrison of Harrison, Abramovitz, and Harris, the building was developed between 1956 and 1960 as part of Rockefeller Center. It was originally known as the <b>Time &amp; Life Building</b> for its main tenant, Time Inc., which also published <i>Life</i> magazine. </p><p>1271 Avenue of the Americas contains an eight-story base that partially wraps around the main shaft, as well as a plaza with white-and-gray serpentine pavement and water fountains. The facade consists of glass panels between limestone columns. The lobby contains serpentine floors; white-marble and stainless-steel walls; reddish-burgundy glass ceilings; and artwork by Josef Albers, Fritz Glarner, and Francis Brennan. The ground floor also includes storefronts and originally also housed La Fonda del Sol, a Latin American-themed restaurant. Each of the upper floors measures 28,000 sq ft (2,600 m<sup>2</sup>) and consists of a column-free space around a mechanical core. The 48th floor originally contained the Hemisphere Club, a members-only restaurant during the day. </p><p>After Time Inc. expressed its intention to move from 1 Rockefeller Plaza in the 1950s, Rockefeller Center's owners proposed the skyscraper to meet the company's needs while retaining it as a tenant. Construction started in May 1957, the building was topped out during November 1958, and occupants began moving into their offices in late 1959. The New York City Landmarks Preservation Commission designated the Time-Life Building's lobby as a city landmark in 2002. Time Inc. vacated the building in 2015, and the building was subsequently renovated between 2015 and 2019. </p>"	serpentine 1956 york building moving 2019 tenant architect around an lobby limestone m2 commission club after by 1 vacated in while to 28000 may need rockefeller space restaurant known ft expressed 2600 construction shaft renovated whiteandgray a time 1960 meet on which landmark wa 1950s ground harris plaza consists column street mechanical intention originally topped late new josef glass includes midtown 48th is abramovitz panel each occupant office avenue storefront that designed published fountain timelife wall housed americanthemed eightstory la harrison base albers ceiling with wallace life main reddishburgundy glarner part fritz it during 1957 neighborhood started of owner francis brennan pavement developed core floor membersonly their into sixth retaining manhattan upper contained 50th for sq skyscraper wrap and del from stainlesssteel columnfree between latin november 2002 day partially whitemarble inc 1959 preservation fonda amp company out hemisphere america measure also artwork city designated 1271 magazine water 2015 move the sol proposed 48story 1958 well 51st began center subsequently facade contains	skyscraper located in Rockefeller Center in New York City	city york skyscraper in center new located rockefeller	Written_communication
The Knickerbocker Hotel	"<p class=""mw-empty-elt""> </p> <p><b>The Knickerbocker Hotel</b> is a hotel at Times Square, on the southeastern corner of Broadway and 42nd Street, in the Midtown Manhattan neighborhood of New York City. Built by John Jacob Astor IV, the hostelry was designed in 1901 and opened in 1906. Its location near the Theater District around Times Square was intended to attract not only residential guests but also theater visitors. </p><p>The Knickerbocker Hotel is largely designed in the Beaux-Arts style by Marvin &amp; Davis, with Bruce Price as consultant. Its primary frontages are on Broadway and 42nd Street. These facades are constructed of red brick with terracotta details and a prominent mansard roof. The Knickerbocker Hotel also incorporates an annex on 41st Street, built in 1894 as part of the St. Cloud Hotel, which formerly occupied the site. The 41st Street facade contains a Romanesque Revival design by Philip C. Brown. Inside, the hotel contains 300 rooms, a restaurant, a coffee shop, and a roof bar. The original interior design was devised in 1905 by Trowbridge &amp; Livingston. There are scattered remnants of the original interior design, including an entrance that formerly led from the New York City Subway's Times Square station to the hotel's basement. </p><p>The original hotel, which served as the home of Enrico Caruso and George M. Cohan, shuttered in 1920 following a decrease in business. The building was then converted to offices, becoming known as the Knickerbocker Building. It was the home of <i>Newsweek</i> magazine from 1940 to 1959 during which it was called the Newsweek Building. After major renovations in 1980, it became known as 1466 Broadway and was used as garment showrooms and offices. Following another renovation in 2001, it was known as 6 Times Square. The Knickerbocker was added to the National Register of Historic Places in 1980 and was designated a New York City Landmark in 1988. It was converted back to a hotel from 2013 to 2015 under its original name. </p>"	york room building used occupied 2013 around caruso davis served brown shuttered an historic district decrease livingston jacob after only subway home bruce by st in john near coffee to led beauxarts frontage inside restaurant opened known trowbridge mansard c garment these showroom 1466 a time terracotta major on price which landmark wa constructed street 41st converted consultant brick new corner knickerbocker basement southeastern 1920 1905 hotel midtown is office red that designed residential becoming m 2001 prominent guest name broadway with astor there shop site 1980 1906 part it not became register theater revival 42nd during following neighborhood newsweek incorporates square of intended 300 primary 1894 annex remnant including business manhattan location style iv roof enrico and added under 6 from philip george place design built station 1959 national hostelry visitor another amp back formerly largely cohan renovation also 1988 then city are designated magazine cloud original 2015 marvin devised the detail 1901 scattered called interior attract bar romanesque at but facade contains 1940 entrance	hotel in Manhattan, New York	york hotel in manhattan new	Written_communication
Moonlight Bay Trilogy	"<p>The <i><b>Moonlight Bay Trilogy</b></i> is an unfinished trilogy of three novels by Dean Koontz. They revolve around the mysterious events in Moonlight Bay, a fictitious Southern California town, that are investigated by the main character Christopher Snow, who suffers from the genetic disorder Xeroderma pigmentosum. </p><p>Only the first two books have been released; no release date is scheduled for the third novel. The books in the trilogy are: </p> <ul><li><i>Fear Nothing</i>,(1998), ISBN 0-7472-5832-5 (Paperback), <link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1067248974"">ISBN 0-553-10664-3 (Hardback)</li> <li><i>Seize the Night</i>,(1999), <link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1067248974"">ISBN 0-7472-5833-3 (Paperback), <link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1067248974"">ISBN 0-553-10665-1 (Hardback)</li> <li><i>Ride the Storm</i> (Tentative title), (TBA)</li></ul><p>According to a January 14, 2000 interview with Bookreporter.com, Dean Koontz was quoted as saying ""I'm half way through <i>Ride the Storm</i>, the third Christopher Snow story, but another book will appear between <i>Fear Nothing</i> and <i>Ride</i>."" </p><p>As of 2003, Koontz was still reportedly ""halfway through"" <i>Ride the Storm.</i></p><p>In an interview at the end of 2017, Koontz says that he intends to finish Ride the Storm once he finishes the 7th book in his Jane Hawk series. The fifth and final book in the Jane Hawk series - <i>The Night Window</i> - was published on May 14, 2019 but there is still no definitive word on if or when <i>Ride the Storm</i> will be released. </p>"	appear suffers night ride his or 2019 0553106651 moonlight around first word an finish town 2017 genetic only still he fifth window tbaaccording 2003 at by in to be may they scheduled 0747258325 hardback have dean revolve a california on pigmentosum interview third wa say unfinished two nothing1998 january series mysterious release character 2000 hawk final is title when that published fear storm 14 tentative night1999 been im released with there main 7th stormin definitive of disorder nothing will way quoted book christopher trilogy seize for bookreportercom end 0553106643 jane and saying if from novel fictitious through between intends once snow half another bay paperback xeroderma reportedly date investigated are no three 0747258333 event koontz isbn the story halfway southern who but	proposed trilogy by Dean Koontz	proposed by dean koontz trilogy	Written_communication
The Book (short story)	"<p>""<b>The Book</b>"" is an unfinished short story by American horror fiction writer H. P. Lovecraft, believed to have been written in late 1933. It was first published in the journal <i>Leaves</i> in 1938, after Lovecraft's death.</p><p>In the story fragment, the narrator is given an ancient book by a strange bookseller, and when he takes it home and examines it, weird and sinister events ensue. </p><p>In October 1933, Lovecraft wrote in a letter: </p> <blockquote class=""templatequote""><p>I am at a sort of standstill in writing—disgusted at much of my older work, and uncertain as to avenues of improvement. In recent weeks I have done a tremendous amount of experimenting with different styles and perspectives, but have destroyed most of the results.</p></blockquote> <p>The <i>H. P. Lovecraft Encyclopedia</i> suggests that ""The Book"" was one of the undestroyed experiments—an attempt to translate Lovecraft's poem sequence <i>Fungi from Yuggoth</i> into prose. (The completed fragment corresponds to the first three sonnets, which form more of a coherent narrative than the rest of the sequence.)</p><p>""The Black Tome of Alsophocus"", first published in <i>New Tales of the Cthulhu Mythos</i> (1969), is an attempt by Martin S. Warnes to complete ""The Book"". Warnes turns the fragment into a tale of possession by Nyarlathotep.</p><p>In 2019, the latter Warnes completion was adapted into a short film of the same name. The aforementioned film was featured in 2020 Edition of the H.P. Lovecraft Film Festival &amp; CthulhuCon and it its included in the Festival's Best of 2020 Short Film Collection bluray. </p>"	sonnet fragment october 2019 alsophocus p h mythos first an short after he week home adapted at by horror in to form journal have american leaf sinister experimenting rest writer a one which festival most wa tome uncertain 1938 unfinished weird completed narrative 2020 collection included late new strange translate same corresponds possession is done when attempt avenue that nyarlathotepin cthulhucon published been warnes 1933 experiments—an name written with given martin hp sequencethe older am narrator it work result cthulhu encyclopedia lovecraft suggests coherent of tale fiction much complete destroyed into s recent book completion amount style aforementioned and believed undestroyed ensue sequence from featured yuggoth sort 1969 bookseller black prose amp best turn take wrote my ancient letter poem writing—disgusted tremendous examines deathin latter three more film bluray than event story the lovecrafts different i perspective fungi standstill improvement but edition	H. P. Lovecraft short story	lovecraft short p story h	Written_communication
My Immortal (fan fiction)	"<p><i><b>My Immortal</b></i> is a <i>Harry Potter</i>-based fan fiction serially published on FanFiction.net between 2006 and 2007. Though notable for its convoluted narrative and constant digressions, the story largely centers on a non-canonical female vampire character named ""Ebony Dark'ness Dementia Raven Way"" and her relationships with the characters of the <i>Harry Potter</i> series, particularly her romantic relationship with Draco Malfoy, culminating in her traveling back in time to defeat the main antagonist of the series, Lord Voldemort (or 'Vlodemort'). </p><p><i>My Immortal</i> is popularly regarded as one of the worst works of fan fiction ever written. Since the work's publication, it has gained infamy for its constant grammar and spelling errors, plot inconsistencies and complete disregard for the original <i>Harry Potter</i> source material. Despite this, the series has also inspired multiple derivative works, including a YouTube web series, and is viewed with nostalgia for adolescent fan life. </p><p>The author's identity has never been confirmed and has been deemed by many as ""unsolvable"". The author published the story under the username ""XXXbloodyrists666XXX"" and self-identified as Tara Gilesbie. In September 2017, someone claiming to be the author updated a FictionPress account stating that she had created an active Tumblr account under her real name; an effort to locate this Tumblr account resulted in the account of young adult novelist Rose Christo. She has since stated that she was one of two co-authors of <i>My Immortal</i> and had provided evidence of her authorship to Macmillan Publishers, but controversy that same month over factual errors in her then-forthcoming memoirs has led to doubt as to her authorship. </p><p>The story has been speculated to be a hoax designed to fool and troll readers or to satirize fan fiction, but others consider the work and the alleged online presence of the author too elaborate to fake effectively. In September 2017, Christo stated that <i>My Immortal</i> is a work of satire, though her authorship is disputed. </p> "	worst never doubt vlodemort this or someone over an plot 2017 hoax ever online deemed authorship culminating digression web particularly stating by immortal antagonist active potter in her to be ebony led disputed material 2007 satirize memoir a time one on young wa gilesbie two fool narrative source infamy serially rose draco series claiming publisher thenforthcoming character raven xxxbloodyrists666xxx same effectively is voldemort stated harry that published designed identity troll defeat derivative been many satire name alleged written youtube with macmillan fictionpress main life reader since error month potterbased it work novelist tumblr dementia september female fake malfoy notable of spelling controversy convoluted fiction lord complete unsolvable way christo traveling adolescent noncanonical including had vampire author account consider popularly despite for 2006 regarded and under multiple others evidence she fan between inspired real grammar updated publication ha back adult darkness elaborate largely relationship gained provided my also factual fanfictionnet named romantic inconsistency original locate confirmed presence selfidentified viewed effort the story constant nostalgia too though resulted disregard tara speculated center but created coauthor username	work of fan fiction that inspired various derivative works	various derivative of that work fiction fan inspired	Written_communication
On Social Freedom	"<p><b>On Social Freedom: or the Necessary Limits of Individual Freedom Arising Out of the Conditions of Our Social Life</b> is an essay regarding individual and societal freedom initially thought to have been written by the British philosopher John Stuart Mill, but later found to have been falsely attributed to him.</p><p>Discovered in 1907 among the possessions left in the home at which Mill died in Avignon, France, it was published in June 1907 as a special article in The Oxford and Cambridge Review. The work was republished by Columbia University Press in 1941, but failed to attract much attention. In 1955, the Liberal Arts Press intended to republish it in a volume also containing <i>On Liberty</i>, but decided against doing so in view of the doubts surrounding its authorship raised by the Mill scholar J.C. Rees. He then set out the full case against attributing the work to Mill in his 1956 work <i>Mill and His Early Critics</i>. </p><p>Rees's explanation for how the manuscript ended up among Mill's possessions is summarised by J.P. Scanlan:</p> <blockquote><p>In September, 1862, Mill wrote a letter from Avignon to a certain E.R. Edger, acknowledging receipt of a manuscript entitled ""Social Freedom."" Apparently Edger hoped to elicit from Mill an appraisal of his capacity for philosophical inquiry, and had sent the manuscript as a sample of his work. Mill replies politely and with his usual care that he finds many signs of competence in the work - mostly, however, in the form of ""promise rather than performance"" - and he exhorts Edger to continue thinking and writing, though not ""to the neglect of other modes of gaining a subsistence."" Concerining Edger's views Mill says only that, if he were to comment in detail, he ""should have much to say against several of your positions, and especially against your definition of liberty.""</p></blockquote> <p>The letter is included in Mill's <i>Collected Works</i> where Edger is identified as ""probably Ebenezer R. Edger, associate of G.J. Holyoake in the promoting of the co-operative movement, writer for <i>The Secular World</i> and author of tracts on co-operation."" Holyoake briefly mentions Edger in <i>The History of Co-operation</i>:</p> <blockquote><p>""Ten years later my colleague, Mr E. R. Edger, visited Mr. Crisell, the manager of the farm whom the Rev. Mr. Robinson had found to be ""manly, open, and ingenious appearance,"" beyond what he expected of one belonging to the ""depressed"" class. Mr. Edger sent me this report:- </p><blockquote><p>""I paid a visit to Assington, and had a conversation with the manager, Mr. Crisell (pronounced with i long, 'Cry-sell'). I can feel no enthusiasm at all about the Assington Farm. There seems no 'co-operation' in the right sense of the term, but only <i>bounty</i> of the squire towards poor neighbours. </p><p>(1) It is limited to inhabitants of the parish. (2) Each member can hold only one share. (3) Members have no voice in the management. (4) Wages to workmen same as usual. (5) No special inducement offered to the workmen to become shareholders. The manager remarked that they did not care particularly to employ the members; this seems to me very significant. It has been in existence forty-one years, so it will take a long time to renovate society that way. Remember, I only give my impressions."" </p> </blockquote></blockquote> <p>An E.R. Edger is also listed in the <i>British Medical Journal</i> on 24 April 1869 as having passed a primary examination in anatomy and physiology at the Royal College of Surgeons of England.</p>"	found 1956 beyond term doubt case crysell reply existence his this or assington enthusiasm individual promoting did rees died appraisal against whom thinking an 4 significant listed surgeon very attributed appearance only promise he authorship certain home neglect class mode left society particularly 1869 about attributing by 1 physiology columbia john in inquiry politely impression to form crisell mr be all they journal however edger jc associate conversation holyoake college have squire mention shareholder university examination having inducement hold limit writer a time receipt on which cambridge liberal wa view manuscript summarised entitled elicit say colleague sense up care decided collected fortyone article inhabitant where renovate included comment sign rev definition depressed societal himdiscovered volume republished scanlan history paid later visit same employ possession is 1907 scholar subsistence exhorts each e wage set that 1941 france published mill visited royal avignon report me attention limited regarding been among many manager poor management sent ingenious freedom what written remember with england there arising give review life oxford 1955 how probably remarked performance were writing can towards our june it work not stuart right ebenezer voice pronounced condition full your september manly usual of thought much special intended failed will other open long critic feel way philosopher ended primary should explanation cooperation had tract doing surrounding author offered raised seems secular for jp hoped robinson anatomy continue concerining early and ten necessary movement if from apparently capacity medical bounty passed several identified so art sample expected er ha member falsely out philosophical world 5 take wrote 2 parish 1862 also especially my neighbour 3 republish 24 containing letter then no briefly cooperative april essay british gj position initially rather one mostly than acknowledging r the workman farm become year detail reess find though i attract belonging press at but social competence share gaining liberty	book by John Stuart Mill	by john book stuart mill	Written_communication
K-Rob	"<p><b>Malik Johnson</b>, better known as <b>K-Rob</b>, is an American rapper most famous for providing vocals for ""Beat Bop"" with Rammellzee in 1983. He was also a graffiti artist with the tag ""Crane."" He released the singles ""I'm a Homeboy"" and ""The Day K-Rob Came Back"" under his own name, in 1986. Since the 1980s, however, aside from providing a verse for ""Beat Bop Part 2"" on 2004's <i>Bi-Conicals of the Rammellzee</i>, K-Rob has devoted himself more to his Muslim faith.</p>"	krob rapper bop a homeboy better johnson day artist part most wa since on his ha rammellzee 1983 biconicals back himself single providing 2004s an 2 tag faith of famous muslim own also he verse devoted came is graffiti in more to the however for beat crane 1980s known and under vocal 1986 im name american from released with aside malik	American rapper	rapper american	Written_communication
Edward von Lõngus	"<p><b>Edward von Lõngus</b> (pseudonym) is an Estonian stencil artist based in Tartu. His works have earned the attention of the media and many art critics, been presented in art exhibitions and sold in art auctions.</p><p>He has been compared to Banksy because of the style of his works that often include political and social commentary, his use of stencils and unknown identity. </p><p>He received the Tartu City Culture Award in 2014 for his stencil ""Cannabeard and the Witch-Hunter"" that takes an Estonian children's book character called Sammalhabe (""Mossbeard"", from Eno Raud's novel ""Naksitrallid"") and changes it to produce a piece about the war on drugs.</p><p>In January 2019, Edward von Lõngus won the 2018 Culture Award by Estonian Ministry of Foreign Affairs for his digital street art project ‘(R)estart Reality’. In the course of the project, which took place as part of Estonia’s presidency of the European Union and the cultural programme for the celebrations of the 100th anniversary of the Republic of Estonia, he visited 11 European capitals - Brussels, Rome, Berlin, Helsinki, Copenhagen, Paris, London, Vilnius, Rīga, Vienna and Budapest -, painting there street-art connected to Estonian cultural history. To these painting, additional digital audio-video content was connected via an augmented reality app, telling stories about each life-sized painted figure and connecting cultural traditions with Estonia's image as an e-nation.</p>"	pseudonym restart war digital banksy mossbeard connected his often 2019 cannabeard an vilnius rīga he auctionshe image about by compared republic in painted ‘ to connecting vienna have streetart these reality copenhagen a naksitrallid on artist which piece wa 2018 because change january presidency anniversary capital include won character use history foreign cultural commentary is drugsin each 2014 affair that ministry helsinki visited earned identity ’ attention celebration been additional many course with there sammalhabe edward witchhunter project berlin part childrens it work received programme 100th content medium political of via award critic 11 s book presented exhibition based style for took and stencil from paris rauds augmented novel eno telling place audiovideo brussels art tradition ha painting european tartu app take london enation produce city culture sold estonia rome the von story estonian figure called lifesized union budapest street social lõngus unknown	Estonian street artist	artist estonian street	Written_communication
Murad Subay	"<p><b>Murad Subay</b> (born July 3, 1987 in Dhamar) is a Yemeni contemporary artist, street artist and a political activist who has launched several street art campaigns of which society engagement marked one of their important elements. He first started to paint on the streets after the revolution of 2011, in a campaign he called ""Color the Walls of Your Street"".</p><p>He became widely known as an activist after launching several street art campaigns that criticized the political situation in his country and the conflicts which broke out in 2015 in Yemen. He always paints in the light of day and invites people to join him paint openly in the streets. People from different backgrounds and ages have joined him in his campaigns to express their own views around the political scene in Yemen. The influence of these campaigns spread to other cities such as Sana'a, Taiz, Aden, Ibb and Alhudaydah where similar campaigns were launched soon after. Subay has been compared to fellow street artist Banksy.</p>"	invite joined banksy his light aden him around first an after spread he yemen marked society fellow compared in express to known have launched these join a one which artist on murad view 2011 where background criticized always dhamar is engagement that such wall july been yemeni color widely subay were 1987 became your launching started political of own who activist campaign paint other revolution their influence and people from alhudaydah several day element art ha important soon out born ibb openly 3 situation streethe city age sanaa scene conflict contemporary similar 2015 the country different called broke taiz street	yemeni artist and activist	and artist activist yemeni	Written_communication
